Longitude,Latitude
-73.96004858673138,40.79313748892103
-73.98911056184592,40.721778625498864
-73.98175385808497,40.73075708436841
-74.01080485950375,40.71121881815789
-73.9841433216194,40.772992121735
-73.97700818184964,40.785086979343035
-73.99530437268085,40.72953978614368
-73.99930452619112,40.71991073625306
-73.99279659684214,40.76247791675149
-73.97538619429199,40.75193526011285
-74.00422557621668,40.737419479087414
-73.98154740600219,40.72100299824795
-73.94764667079679,40.7800893674249
-73.99456835310251,40.74920821184682
-73.98778702200637,40.73788481175714
-73.98828212895593,40.756160031811376
-73.98054438748483,40.762913648782224
-73.95629634275903,40.77758994070224
-73.9680786595239,40.78550906362907
-73.94627554898433,40.81818929140769
-73.95776321606668,40.76522682150546
-73.96303829628279,40.771638950421114
-73.97010777656023,40.76109460191366
-73.98335824646061,40.74473151761093
